Season,Team,Context,W,D,L,GF,GA,Pts
2022/23,Ein Frankfurt,Home,9,5,3,35,18,32
2022/23,Ein Frankfurt,Away,4,6,7,23,34,18
2022/23,Bayern Munich,Home,11,5,1,53,17,38
2022/23,Bayern Munich,Away,10,3,4,39,21,33
2022/23,Augsburg,Home,6,4,7,16,24,22
2022/23,Augsburg,Away,3,3,11,26,39,12
2022/23,Freiburg,Home,10,4,3,28,13,34
2022/23,Freiburg,Away,7,4,6,23,31,25
2022/23,Bochum,Home,8,2,7,28,32,26
2022/23,Bochum,Away,2,3,12,12,40,9
2022/23,Mainz,Home,6,6,5,31,25,24
2022/23,Mainz,Away,6,4,7,23,30,22
2022/23,M'gladbach,Home,10,3,4,33,18,33
2022/23,M'gladbach,Away,1,7,9,19,37,10
2022/23,Hoffenheim,Home,7,2,8,28,29,23
2022/23,Hoffenheim,Away,3,4,10,20,28,13
2022/23,Union Berlin,Home,11,6,0,30,11,39
2022/23,Union Berlin,Away,7,2,8,21,27,23
2022/23,Hertha,Home,5,6,6,24,27,21
2022/23,Hertha,Away,2,2,13,18,42,8
2022/23,Wolfsburg,Home,6,7,4,34,25,25
2022/23,Wolfsburg,Away,7,3,7,23,23,24
2022/23,Werder Bremen,Home,5,2,10,26,28,17
2022/23,Werder Bremen,Away,5,4,8,25,36,19
2022/23,Dortmund,Home,14,2,1,55,17,44
2022/23,Dortmund,Away,8,3,6,28,27,27
2022/23,Leverkusen,Home,8,3,6,35,23,27
2022/23,Leverkusen,Away,6,5,6,22,26,23
2022/23,Stuttgart,Home,5,6,6,23,22,21
2022/23,Stuttgart,Away,2,6,9,22,35,12
2022/23,RB Leipzig,Home,13,2,2,38,18,41
2022/23,RB Leipzig,Away,7,4,6,26,23,25
2022/23,FC Koln,Home,6,5,6,28,20,23
2022/23,FC Koln,Away,4,7,6,21,34,19
2022/23,Schalke 04,Home,5,5,7,23,36,20
2022/23,Schalke 04,Away,2,5,10,12,35,11
2023/24,Werder Bremen,Home,7,4,6,29,26,25
2023/24,Werder Bremen,Away,4,5,8,19,28,17
2023/24,Bayern Munich,Home,14,1,2,53,12,43
2023/24,Bayern Munich,Away,9,2,6,41,33,29
2023/24,Augsburg,Home,6,6,5,26,26,24
2023/24,Augsburg,Away,4,3,10,24,34,15
2023/24,M'gladbach,Home,5,6,6,27,26,21
2023/24,M'gladbach,Away,2,7,8,29,41,13
2023/24,Hoffenheim,Home,6,5,6,31,31,23
2023/24,Hoffenheim,Away,7,2,8,35,35,23
2023/24,Freiburg,Home,5,7,5,28,30,22
2023/24,Freiburg,Away,6,2,9,17,28,20
2023/24,Leverkusen,Home,14,3,0,47,11,45
2023/24,Leverkusen,Away,14,3,0,42,13,45
2023/24,RB Leipzig,Home,11,4,2,40,12,37
2023/24,RB Leipzig,Away,8,4,5,37,27,28
2023/24,Stuttgart,Home,13,3,1,50,15,42
2023/24,Stuttgart,Away,10,1,6,28,24,31
2023/24,Bochum,Home,5,8,4,26,29,23
2023/24,Bochum,Away,2,4,11,16,45,10
2023/24,Wolfsburg,Home,6,4,7,25,25,22
2023/24,Wolfsburg,Away,4,3,10,16,31,15
2023/24,Heidenheim,Home,7,5,5,30,26,26
2023/24,Heidenheim,Away,3,7,7,20,29,16
2023/24,Dortmund,Home,10,3,4,37,22,33
2023/24,Dortmund,Away,8,6,3,31,21,30
